⭐ *Kata Sifat Menggambarkan Kepribadian* ⭐

🔹Adventurous      ~ Petualang
🔹Ambitious          ~ Ambisius
🔹Anxious              ~ Gelisah, Cemas
🔹Arrogant             ~ Sombong
🔹Attentive             ~  Penuh Perhatian
🔹Bad-tempered   ~ Pemarah
🔹Bossy                   ~ Suka memerintah
🔹Brave                    ~ Berani
🔹Broad-minded    ~ Berwawasan luas
🔹Calm                    ~ Kalem, Tenang, Santai
🔹Careful                 ~ Hati-hati
🔹Careless              ~ Ceroboh
🔹Cheeky                ~ Nakal
🔹Cheerful              ~ Ceria
🔹Compassionate   ~ Penyayang
🔹Confident            ~ Percaya diri
🔹Conscientious     ~ Teliti
🔹Courageous        ~ Pemberani
🔹Courteous           ~ Sopan
🔹Crazy                   ~ Gila
🔹Creative              ~ Kreatif
🔹Crybaby              ~ Cengeng
🔹Determined        ~ Bertekad
🔹Diplomatic          ~ Diplomatis
🔹Discreet              ~ Bijaksana
🔹Dishonest           ~ Tidak jujur
🔹Distracted          ~ Terganggu
🔹Dynamic             ~ Dinamis
🔹Easygoing          ~ Santai
🔹Emotional           ~ Emosional
🔹Energetic            ~ Energik
🔹Enthusiastic       ~ Antusias
🔹Fair-minded       ~ Berpikiran adil
🔹Faithful              ~ Setia
🔹Fearless             ~ Tak kenal takut
🔹Funny                 ~ Lucu
🔹Frank                  ~ Jujur
🔹Friendly              ~ Ramah
🔹Generous           ~ Murah hati, Dermawan
🔹Gentle                 ~ Lemah lembut
🔹Good-tempered ~ Baik hati
🔹Happy                  ~ Senang, Bahagia
🔹Hard-working     ~ Pekerja keras
🔹Helpful                ~ Bermanfaat, Berguna
🔹Honest                ~ Jujur
🔹Humble               ~ Rendah hati
🔹Humorous          ~ Humoris, Suka Bercanda
🔹Hypocritical       ~ Munafik
🔹Imaginative       ~ Imajinatif, Imajinasi
🔹Impartial            ~ tidak memihak
🔹Impatient           ~ Tidak sabar
🔹Insecure              ~ Tidak percaya diri
🔹Intellectual         ~ Intelek
🔹Intelligent         ~ Cerdas, jenius
🔹Jealous             ~ Cemburu
🔹Kind                    ~ Baik, Ramah
🔹Lazy                   ~ Malas
🔹Lively                 ~ Hidup
🔹Loving                ~ Penyayang
🔹Loyal                  ~ Setia
🔹Mean                  ~ Berarti
🔹Messy                ~ Berantakan
🔹Modest              ~ Sederhana
🔹Naughty            ~ Nakal
🔹Neat                  ~ Rapi
🔹Nervous            ~ Gugup, Grogi
🔹Nice                   ~ Baik
🔹Obedient           ~ Patuh
🔹Optimistic         ~ Optimis
🔹Passionate         ~ Penuh gairah
🔹Patient               ~ Sabar
🔹Persistent          ~ Gigih
🔹Pessimistic        ~ Pesimis
🔹Placid                 ~ Tenang
🔹Plucky                ~ Pemberani
🔹Polite                 ~ Sopan
🔹Popular             ~ Populer, Terkenal
🔹Proud                ~ Bangga
🔹Rational            ~ Rasional
🔹Reliable             ~ Dapat diandalkan
🔹Reserved          ~ Pendiam
🔹Romantic           ~ Romantis
🔹Rude                    ~ Kasar
🔹Scared                ~ Takut
🔹Selfish                  ~ Egois
🔹Self-confident    ~ Percaya diri
🔹Self-disciplined    ~ Disiplin diri
🔹Sensible               ~ Masuk akal
🔹Sensitive             ~ Peka, sensitif
🔹Serious                ~ Serius
🔹Shy                     ~ Malu
🔹Silly                     ~ Konyol
🔹Sincere               ~ Tulus
🔹Smart                  ~ Pintar
🔹Sociable               ~ Mudah bergaul
🔹Straightforward  ~ Lugas
🔹Stubborn             ~ Keras kepala
🔹Supportive          ~ Mendukung
🔹Talkative              ~ Banyak bicara
🔹Thoughtful          ~ Penuh pertimbangan
🔹Tidy                      ~ Rapi
🔹Timid                   ~ Pemalu
🔹Unfriendly           ~ Tidak ramah
🔹Unpleasant         ~ Tidak menyenangkan
🔹Untidy                 ~ Tidak rapi, berantakan
