⭐ *Wortschatz* • Kosakata ⭐
☆ Im Haus 
◇ Di dalam Rumah

der Stuhl 🪑             kursi
der Tisch                    meja
die Tür 🚪                 pintu
das Fenster 🖼️         jendela
die Lampe 💡           lampu
das Bett 🛏️            tempat tidur
die Toilette 🚽            toilet
das Sofa 🛋️                sofa
der Teppich                   karpet
der Fernseher 📺         televisi
das Regal 📚               rak buku
der Herd 🔥                 kompor
das Waschbecken 🚰 wastafel
die Dusche 🚿            shower
die Badewanne 🛁     bak mandi
das Messer 🔪            pisau
der Loffel 🥄               sendok
das Glas 🥛                gelas
die Gabel 🍴              garpu
die Tasse ☕               cangkir
die Pfanne 🍳        penggorengan
die Schüssel 🍜         mangkok
der Teller 🍝              piring
der Topf                       panci
die Bürste                    sikat
die Seife 🧼               sabun
die Zahnbürste         sikat gigi
die Zahnpasta         pasta gigi
das Handtuch 🧖🏻‍♂️     handuk
______________________________
12-10-20 | 🇩🇪 Belajar Deutsch
